order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
79,6195,2023-11-21,485,7,870.77,6095.39,Completed,2023-11-28
80,8226,2024-12-23,347,3,274.04,822.12,Completed,2024-12-28
81,6907,2023-05-14,185,9,513.15,4618.35,Pending,
82,3581,2023-09-14,286,6,181.75,1090.50,Pending,
83,681,2023-10-29,322,5,931.16,4655.80,Completed,2023-10-29
84,3811,2024-07-17,452,10,855.93,8559.30,Completed,2024-07-20
85,4158,2024-09-09,194,7,875.44,6128.08,Pending,
86,8572,2023-10-29,62,5,880.47,4402.35,Completed,2023-11-04
87,714,2024-12-29,71,10,945.59,9455.90,Completed,2025-01-03
88,3689,2024-12-27,94,9,218.07,1962.63,Pending,
89,1258,2023-01-23,177,4,195.70,782.80,Completed,2023-01-30
90,9846,2024-09-24,409,2,785.06,1570.12,Completed,2024-09-28
91,8633,2024-06-12,357,8,949.33,7594.64,Completed,2024-06-12
92,1241,2024-06-11,184,1,462.21,462.21,Pending,
93,3702,2023-10-11,467,4,425.04,1700.16,Pending,
94,1155,2024-06-24,92,10,199.91,1999.10,Completed,2024-06-28
95,5687,2024-06-04,140,2,521.45,1042.90,Completed,2024-06-11
96,9177,2023-11-08,267,2,318.51,637.02,Completed,2023-11-12
97,2371,2023-01-25,453,6,493.93,2963.58,Completed,2023-01-29
98,3644,2023-02-16,270,3,420.03,1260.09,Pending,
99,9746,2024-10-27,183,1,513.77,513.77,Pending,
100,910,2024-03-14,227,9,229.14,2062.26,Completed,2024-03-19
101,5474,2023-11-25,1,1,643.02,643.02,Completed,2023-11-30
102,7933,2024-12-31,408,7,632.96,4430.72,Completed,2025-01-03
103,6431,2023-08-02,440,8,482.67,3861.36,Completed,2023-08-08
104,1114,2023-09-17,138,3,852.43,2557.29,Completed,2023-09-18
105,5838,2024-03-20,392,2,502.39,1004.78,Pending,
106,2455,2024-03-23,316,6,780.33,4681.98,Completed,2024-03-24
107,4510,2024-12-17,261,3,578.35,1735.05,Completed,2024-12-20
108,6826,2023-12-17,155,9,562.48,5062.32,Completed,2023-12-19
109,7367,2024-05-22,349,6,89.26,535.56,Completed,2024-05-22
110,6338,2024-02-05,35,5,428.90,2144.50,Completed,2024-02-12
111,4177,2024-09-01,393,2,967.01,1934.02,Completed,2024-09-01
112,987,2023-06-08,32,10,247.05,2470.50,Completed,2023-06-11
113,5408,2024-11-01,475,10,432.92,4329.20,Cancelled,
114,2072,2023-09-13,229,9,311.31,2801.79,Completed,2023-09-20
115,7825,2023-12-03,246,7,964.38,6750.66,Completed,2023-12-05
116,3677,2023-05-05,153,8,406.69,3253.52,Completed,2023-05-06
117,3167,2024-11-05,232,5,939.65,4698.25,Pending,
118,2093,2024-03-04,273,3,308.40,925.20,Pending,
119,7071,2023-07-05,494,6,204.22,1225.32,Completed,2023-07-11
120,7843,2023-07-03,186,7,346.47,2425.29,Completed,2023-07-07
121,5588,2023-01-15,346,5,345.64,1728.20,Completed,2023-01-19
122,9571,2024-08-09,325,9,146.21,1315.89,Completed,2024-08-16
123,5919,2023-12-04,318,6,61.65,369.90,Completed,2023-12-08
124,2778,2024-08-15,93,1,619.35,619.35,Completed,2024-08-15
125,5435,2024-05-21,132,5,78.26,391.30,Pending,
126,5867,2024-09-16,259,4,512.33,2049.32,Completed,2024-09-16
127,1116,2024-11-01,484,9,196.27,1766.43,Completed,2024-11-03
128,7312,2023-09-03,32,5,247.05,1235.25,Completed,2023-09-08
129,2405,2024-04-06,444,9,689.20,6202.80,Completed,2024-04-11
130,8483,2024-10-29,120,5,333.57,1667.85,Cancelled,
131,4367,2023-05-15,116,1,800.15,800.15,Pending,
132,7638,2024-07-16,461,4,685.89,2743.56,Completed,2024-07-20
133,2896,2023-03-04,412,5,446.62,2233.10,Completed,2023-03-08
134,8776,2023-11-05,392,1,502.39,502.39,Completed,2023-11-11
135,9142,2023-02-17,326,10,761.24,7612.40,Completed,2023-02-24
136,6563,2024-11-03,103,5,670.89,3354.45,Completed,2024-11-05
137,5036,2023-04-17,225,8,824.18,6593.44,Completed,2023-04-24
138,9010,2024-05-06,234,4,373.65,1494.60,Pending,
139,8799,2024-02-21,44,6,984.31,5905.86,Completed,2024-02-27
140,2570,2023-08-05,34,8,480.52,3844.16,Completed,2023-08-12
141,1406,2024-05-22,121,9,259.74,2337.66,Completed,2024-05-26
142,329,2023-03-19,358,4,534.16,2136.64,Completed,2023-03-20
143,6518,2023-05-04,218,7,333.44,2334.08,Completed,2023-05-08
144,6507,2024-06-19,317,9,818.71,7368.39,Pending,
145,7072,2023-06-26,246,7,964.38,6750.66,Cancelled,
146,1246,2023-07-04,258,3,968.70,2906.10,Completed,2023-07-06
147,2064,2024-02-19,132,8,78.26,626.08,Completed,2024-02-25
148,7209,2023-04-15,22,8,99.99,799.92,Completed,2023-04-22
149,1508,2024-06-15,327,5,28.80,144.00,Completed,2024-06-20
150,7541,2023-12-08,313,3,614.48,1843.44,Completed,2023-12-13
151,2827,2023-06-04,99,6,887.27,5323.62,Completed,2023-06-04
152,425,2023-07-13,402,10,145.66,1456.60,Completed,2023-07-14
153,3649,2023-09-02,398,8,82.79,662.32,Completed,2023-09-06
154,2107,2023-04-09,147,8,741.21,5929.68,Cancelled,
155,5667,2024-06-14,449,6,874.39,5246.34,Cancelled,
156,2962,2024-07-24,486,2,962.45,1924.90,Completed,2024-07-29
157,1381,2024-09-10,228,2,309.16,618.32,Cancelled,
158,7389,2024-03-21,422,1,955.75,955.75,Completed,2024-03-27
159,9925,2023-08-03,102,2,256.70,513.40,Completed,2023-08-09
160,4879,2024-07-20,161,4,239.15,956.60,Completed,2024-07-26
161,4850,2023-11-27,83,6,357.62,2145.72,Cancelled,
162,3653,2023-09-08,493,6,935.40,5612.40,Completed,2023-09-10
163,1451,2023-06-14,17,2,806.99,1613.98,Completed,2023-06-18
164,6611,2024-09-02,231,6,886.55,5319.30,Completed,2024-09-07
165,9353,2024-04-27,391,8,503.27,4026.16,Completed,2024-04-28
166,7866,2024-03-14,1,6,643.02,3858.12,Completed,2024-03-16
167,6058,2023-07-11,283,4,781.32,3125.28,Completed,2023-07-15
168,3546,2024-01-15,169,5,823.20,4116.00,Completed,2024-01-18
169,6489,2024-09-22,448,8,803.97,6431.76,Completed,2024-09-25
170,7159,2023-08-29,257,7,416.69,2916.83,Completed,2023-09-02
171,5111,2024-08-16,369,5,75.08,375.40,Completed,2024-08-17
172,498,2023-07-18,339,7,469.97,3289.79,Pending,
173,6759,2023-07-17,441,8,243.16,1945.28,Completed,2023-07-17
174,6177,2023-10-09,421,1,955.05,955.05,Completed,2023-10-13
175,2406,2023-05-24,316,10,780.33,7803.30,Pending,
176,1468,2023-09-30,315,3,374.15,1122.45,Completed,2023-10-03
177,5591,2024-09-08,26,7,753.36,5273.52,Completed,2024-09-10
178,980,2023-08-01,295,10,958.14,9581.40,Completed,2023-08-03
179,1945,2023-01-19,49,3,174.64,523.92,Completed,2023-01-21
180,9701,2023-07-16,315,9,374.15,3367.35,Completed,2023-07-16
181,1718,2024-11-13,189,1,383.43,383.43,Cancelled,
182,6022,2023-11-02,319,6,714.28,4285.68,Completed,2023-11-08
183,1289,2023-03-04,223,9,372.11,3348.99,Pending,
184,6362,2023-09-01,263,1,764.78,764.78,Completed,2023-09-01
185,101,2024-11-29,443,6,71.49,428.94,Cancelled,
186,4426,2024-06-17,446,7,226.93,1588.51,Completed,2024-06-20
187,1942,2023-08-05,420,5,577.73,2888.65,Cancelled,
188,6821,2024-05-20,1,6,643.02,3858.12,Completed,2024-05-22
189,1678,2023-05-03,377,2,102.48,204.96,Cancelled,
190,5637,2023-12-07,137,10,574.14,5741.40,Completed,2023-12-09
191,9469,2024-09-01,42,8,809.41,6475.28,Pending,
192,1766,2024-09-28,306,7,429.16,3004.12,Pending,
193,774,2023-08-29,309,2,512.60,1025.20,Completed,2023-08-30
194,8030,2023-11-21,330,7,838.31,5868.17,Cancelled,
195,9323,2024-01-13,66,1,608.77,608.77,Cancelled,
196,4959,2024-02-12,278,4,579.99,2319.96,Completed,2024-02-12
197,1222,2023-01-14,216,9,904.36,8139.24,Completed,2023-01-15
198,5576,2024-03-02,458,4,935.23,3740.92,Completed,2024-03-08
199,4784,2023-11-03,108,10,242.14,2421.40,Completed,2023-11-06
200,4371,2024-05-19,459,10,414.77,4147.70,Completed,2024-05-19
201,49,2024-02-28,436,10,337.37,3373.70,Completed,2024-02-29
202,6089,2023-07-26,101,6,780.63,4683.78,Pending,
203,475,2023-07-03,184,4,462.21,1848.84,Pending,
204,5635,2023-06-26,495,7,658.05,4606.35,Cancelled,
205,9185,2024-10-24,280,9,465.49,4189.41,Cancelled,
206,8840,2024-09-02,9,5,973.37,4866.85,Completed,2024-09-06
207,6747,2024-12-18,142,9,453.68,4083.12,Completed,2024-12-23
208,1594,2024-08-06,350,7,720.48,5043.36,Pending,
209,2671,2023-02-02,368,5,375.21,1876.05,Pending,
210,7381,2023-04-13,388,5,274.79,1373.95,Completed,2023-04-16
211,6056,2023-04-11,102,10,256.70,2567.00,Completed,2023-04-14
212,8407,2023-03-17,330,10,838.31,8383.10,Completed,2023-03-23
213,8153,2024-10-01,226,1,476.75,476.75,Pending,
214,5903,2024-06-03,80,2,230.20,460.40,Cancelled,
215,5444,2024-01-23,347,9,274.04,2466.36,Completed,2024-01-23
216,4279,2024-09-12,356,4,949.96,3799.84,Completed,2024-09-12
217,536,2024-11-24,406,9,306.78,2761.02,Completed,2024-11-26
218,5351,2024-10-11,397,9,60.64,545.76,Completed,2024-10-14
219,9974,2023-02-16,367,9,244.36,2199.24,Completed,2023-02-16
220,3512,2023-07-31,232,8,939.65,7517.20,Pending,
221,2514,2024-07-19,27,6,440.41,2642.46,Pending,
222,6710,2024-06-15,291,5,83.44,417.20,Completed,2024-06-15
223,7487,2024-04-14,130,9,774.75,6972.75,Cancelled,
224,1273,2023-09-20,412,4,446.62,1786.48,Cancelled,
225,9708,2023-10-08,179,2,443.72,887.44,Completed,2023-10-08
226,1178,2023-09-06,284,2,201.95,403.90,Pending,
227,6329,2023-02-04,39,8,710.75,5686.00,Completed,2023-02-08
228,8433,2023-11-08,420,6,577.73,3466.38,Pending,
229,1789,2024-11-29,371,3,645.91,1937.73,Completed,2024-12-03
230,8296,2023-01-09,474,2,70.34,140.68,Pending,
231,9547,2023-06-19,146,6,322.38,1934.28,Completed,2023-06-22
232,9375,2023-11-27,198,3,630.52,1891.56,Pending,
233,7068,2023-10-03,41,5,490.55,2452.75,Completed,2023-10-05
234,9241,2023-03-04,278,8,579.99,4639.92,Completed,2023-03-04
235,3126,2023-05-05,339,3,469.97,1409.91,Completed,2023-05-09
236,1768,2023-04-23,255,7,833.44,5834.08,Completed,2023-04-27
237,8440,2023-06-11,497,4,735.43,2941.72,Completed,2023-06-11
238,9813,2023-05-19,208,6,987.77,5926.62,Cancelled,
239,6740,2023-05-15,417,2,200.33,400.66,Completed,2023-05-21
240,9234,2023-04-01,153,9,406.69,3660.21,Cancelled,
241,989,2023-03-07,1,2,643.02,1286.04,Completed,2023-03-10
242,3593,2023-05-06,357,1,949.33,949.33,Completed,2023-05-12
243,5526,2024-10-28,189,7,383.43,2684.01,Completed,2024-10-31
244,3060,2024-10-24,114,9,801.86,7216.74,Pending,
245,3149,2023-11-11,199,9,45.53,409.77,Completed,2023-11-14
246,5035,2023-06-23,145,7,459.20,3214.40,Completed,2023-06-23
247,7974,2024-10-20,136,10,832.41,8324.10,Completed,2024-10-23
248,8396,2024-10-18,346,10,345.64,3456.40,Completed,2024-10-23
249,122,2023-06-15,315,5,374.15,1870.75,Completed,2023-06-16
250,7144,2024-02-11,279,4,410.97,1643.88,Completed,2024-02-18
251,8059,2023-01-27,92,2,199.91,399.82,Pending,
252,8036,2023-10-21,95,8,447.73,3581.84,Cancelled,
253,2004,2024-01-17,489,1,652.22,652.22,Completed,2024-01-22
254,7546,2024-06-05,464,10,978.70,9787.00,Pending,
255,1378,2023-12-11,192,6,794.46,4766.76,Completed,2023-12-15
256,9715,2023-06-21,183,6,513.77,3082.62,Completed,2023-06-25
257,4044,2023-05-24,321,6,100.79,604.74,Completed,2023-05-31
258,3249,2023-11-09,66,9,608.77,5478.93,Completed,2023-11-16
259,2812,2023-03-03,291,9,83.44,750.96,Completed,2023-03-03
260,2539,2024-10-20,317,2,818.71,1637.42,Cancelled,
261,2824,2023-04-19,197,6,853.24,5119.44,Completed,2023-04-22
262,4305,2023-11-16,75,1,885.28,885.28,Completed,2023-11-23
263,8450,2023-09-08,386,2,736.85,1473.70,Completed,2023-09-13
264,6222,2023-08-21,71,6,945.59,5673.54,Completed,2023-08-21
265,2270,2023-08-13,144,2,535.60,1071.20,Completed,2023-08-14
266,1854,2023-10-16,108,2,242.14,484.28,Completed,2023-10-20
267,3030,2023-09-12,43,5,360.74,1803.70,Completed,2023-09-19
268,8228,2024-01-16,348,1,606.42,606.42,Completed,2024-01-18
269,2182,2024-04-30,457,8,54.83,438.64,Completed,2024-05-02
270,7003,2024-07-30,28,5,764.33,3821.65,Completed,2024-08-06
271,9564,2024-04-05,377,9,102.48,922.32,Completed,2024-04-10
272,6601,2024-03-22,344,10,867.13,8671.30,Completed,2024-03-26
273,1276,2023-12-23,33,4,817.85,3271.40,Completed,2023-12-30
274,7119,2024-09-24,403,5,157.44,787.20,Completed,2024-10-01
275,2751,2024-12-24,359,8,35.64,285.12,Completed,2024-12-27
276,9253,2023-01-27,211,9,992.76,8934.84,Cancelled,
277,7257,2024-09-22,58,2,212.21,424.42,Pending,
278,8178,2024-11-04,161,1,239.15,239.15,Cancelled,
279,5836,2023-05-12,326,3,761.24,2283.72,Completed,2023-05-13
280,2360,2023-01-09,453,8,493.93,3951.44,Pending,
281,2333,2024-08-06,66,6,608.77,3652.62,Pending,
282,3858,2023-08-04,333,3,671.52,2014.56,Pending,
283,1405,2023-08-26,414,5,708.71,3543.55,Completed,2023-09-01
284,1219,2024-09-28,221,7,749.08,5243.56,Pending,
285,,2024-02-28,158,5,948.10,4740.50,Completed,2024-02-28
286,7992,2024-09-10,59,2,139.56,279.12,Cancelled,
287,9504,2023-04-23,170,2,654.98,1309.96,Completed,2023-04-30
288,8932,2023-05-12,463,8,730.57,5844.56,Completed,2023-05-12
289,3232,2023-11-26,254,2,380.55,761.10,Completed,2023-12-02
290,172,2023-11-05,94,7,218.07,1526.49,Completed,2023-11-11
291,2913,2023-12-14,371,5,645.91,3229.55,Pending,
292,8811,2024-12-29,370,5,771.46,3857.30,Completed,2025-01-01
293,7307,2024-04-17,36,5,404.99,2024.95,Completed,2024-04-24
294,5676,2024-06-15,443,1,71.49,71.49,Completed,2024-06-20
295,7529,2023-03-11,322,2,931.16,1862.32,Pending,
296,8155,2024-10-09,271,5,119.77,598.85,Completed,2024-10-09
297,991,2023-09-24,80,8,230.20,1841.60,Pending,
298,9870,2023-10-10,131,3,784.80,2354.40,Completed,2023-10-13
299,7235,2024-02-20,312,4,53.25,213.00,Completed,2024-02-20
300,4696,2024-02-11,159,9,90.37,813.33,Pending,
301,7513,2024-07-05,60,2,19.21,38.42,Completed,2024-07-11
302,1112,2024-05-16,270,3,420.03,1260.09,Pending,
303,3609,2024-04-19,152,8,965.83,7726.64,Completed,2024-04-25
304,7179,2023-10-26,498,9,493.42,4440.78,Completed,2023-10-28
305,7583,2024-12-09,459,4,414.77,1659.08,Cancelled,
306,1677,2024-06-16,328,9,532.48,4792.32,Completed,2024-06-22
307,8119,2023-05-04,168,5,35.60,178.00,Pending,
308,5491,2023-12-18,142,6,453.68,2722.08,Completed,2023-12-25
309,490,2024-09-07,371,8,645.91,5167.28,Pending,
310,1000,2024-10-19,244,8,780.23,6241.84,Completed,2024-10-23
311,6116,2023-01-28,173,4,336.50,1346.00,Cancelled,
312,1168,2023-04-17,249,4,636.74,2546.96,Pending,
313,4296,2024-04-27,54,3,66.58,199.74,Completed,2024-05-02
314,9630,2024-10-15,90,2,666.74,1333.48,Completed,2024-10-20
315,6258,2023-09-22,230,3,144.30,432.90,Completed,2023-09-27
316,5603,2023-12-01,404,3,325.33,975.99,Pending,
317,1714,2023-10-23,256,8,813.64,6509.12,Completed,2023-10-28
318,7063,2024-10-27,165,3,921.97,2765.91,Completed,2024-10-29
319,4419,2023-11-12,111,8,834.55,6676.40,Completed,2023-11-14
320,2522,2023-05-11,13,3,171.02,513.06,Completed,2023-05-12
321,58,2024-08-07,215,5,680.98,3404.90,Completed,2024-08-14
322,2654,2023-06-10,193,6,134.97,809.82,Pending,
323,1751,2024-06-09,371,5,645.91,3229.55,Completed,2024-06-09
324,6738,2024-03-25,232,4,939.65,3758.60,Completed,2024-03-25
325,901,2023-06-14,294,4,655.31,2621.24,Cancelled,
326,9388,2024-09-29,176,7,826.67,5786.69,Completed,2024-10-01
327,971,2024-03-08,192,1,794.46,794.46,Pending,
328,683,2024-02-02,204,10,88.17,881.70,Cancelled,
329,1860,2024-07-07,345,6,442.57,2655.42,Completed,2024-07-11
330,5755,2024-02-11,65,4,890.81,3563.24,Completed,2024-02-15
331,1183,2023-02-04,53,1,303.73,303.73,Pending,
332,2796,2024-08-06,17,9,806.99,7262.91,Completed,2024-08-12
333,559,2024-02-26,153,1,406.69,406.69,Completed,2024-02-28
334,1583,2023-05-03,429,6,758.34,4550.04,Completed,2023-05-10
335,5162,2024-01-21,64,10,306.37,3063.70,Completed,2024-01-23
336,9447,2023-12-12,209,1,462.26,462.26,Completed,2023-12-17
337,3840,2024-11-26,42,5,809.41,4047.05,Pending,
338,4432,2023-07-03,461,3,685.89,2057.67,Completed,2023-07-03
339,4699,2024-12-02,112,2,386.57,773.14,Completed,2024-12-09
340,7495,2023-05-27,87,3,198.17,594.51,Completed,2023-05-31
341,9789,2024-06-02,446,6,226.93,1361.58,Completed,2024-06-08
342,7974,2023-06-18,478,5,478.77,2393.85,Completed,2023-06-24
343,541,2024-02-06,43,8,360.74,2885.92,Cancelled,
344,7720,2024-04-06,342,9,520.22,4681.98,Cancelled,
345,8236,2023-02-28,391,9,503.27,4529.43,Completed,2023-03-01
346,3386,2023-06-26,17,6,806.99,4841.94,Completed,2023-06-28
347,3406,2024-01-08,272,4,315.33,1261.32,Cancelled,
348,2694,2024-04-21,76,4,865.95,3463.80,Completed,2024-04-21
349,4420,2023-01-31,147,9,741.21,6670.89,Completed,2023-02-03
350,3066,2024-07-17,136,5,832.41,4162.05,Completed,2024-07-23
351,8993,2023-02-05,129,7,85.23,596.61,Completed,2023-02-06
352,2775,2024-02-10,215,2,680.98,1361.96,Pending,
353,6004,2023-05-13,167,5,602.05,3010.25,Completed,2023-05-16
354,3218,2024-08-07,338,10,358.77,3587.70,Completed,2024-08-09
355,1979,2024-11-17,455,5,563.20,2816.00,Completed,2024-11-23
356,571,2024-11-16,160,8,414.42,3315.36,Completed,2024-11-16
357,2439,2024-03-13,495,10,658.05,6580.50,Completed,2024-03-18
358,4318,2024-08-24,151,2,578.31,1156.62,Pending,
359,4345,2024-04-21,102,8,256.70,2053.60,Pending,
360,2736,2024-04-14,317,7,818.71,5730.97,Cancelled,
361,539,2023-07-30,170,1,654.98,654.98,Completed,2023-08-01
362,3894,2023-07-11,487,8,698.66,5589.28,Cancelled,
363,4493,2023-11-30,204,5,88.17,440.85,Cancelled,
364,6509,2024-07-04,5,5,593.36,2966.80,Pending,
365,5854,2023-03-29,447,2,379.88,759.76,Completed,2023-03-29
366,6629,2023-08-29,164,7,80.69,564.83,Completed,2023-08-31
367,6624,2023-03-14,249,10,636.74,6367.40,Pending,
368,1261,2024-06-04,417,8,200.33,1602.64,Completed,2024-06-06
369,5696,2024-11-28,309,3,512.60,1537.80,Completed,2024-11-29
370,6643,2023-05-23,306,5,429.16,2145.80,Pending,
371,2143,2023-05-26,451,10,903.85,9038.50,Cancelled,
372,4043,2023-03-14,280,5,465.49,2327.45,Completed,2023-03-19
373,7839,2023-03-30,495,7,658.05,4606.35,Completed,2023-04-04
374,7940,2024-11-16,83,3,357.62,1072.86,Completed,2024-11-21
375,8533,2023-08-30,460,9,454.04,4086.36,Completed,2023-08-30
376,8187,2023-08-10,300,9,103.55,931.95,Completed,2023-08-14
377,781,2023-07-19,264,4,871.15,3484.60,Completed,2023-07-22
378,6429,2023-12-27,436,2,337.37,674.74,Pending,
379,9443,2024-02-29,94,7,218.07,1526.49,Completed,2024-03-06
380,8482,2023-01-23,13,9,171.02,1539.18,Completed,2023-01-28
381,6834,2023-02-22,172,4,414.25,1657.00,Completed,2023-02-24
382,2345,2023-01-14,249,6,636.74,3820.44,Completed,2023-01-20
383,259,2023-01-06,144,8,535.60,4284.80,Completed,2023-01-06
384,3848,2024-04-08,459,4,414.77,1659.08,Pending,
385,4340,2023-08-10,73,2,51.40,102.80,Pending,
386,4730,2024-05-25,231,3,886.55,2659.65,Pending,
387,3731,2024-10-08,297,3,991.07,2973.21,Completed,2024-10-14
388,8247,2024-08-07,319,5,714.28,3571.40,Completed,2024-08-09
389,8172,2023-05-09,422,7,955.75,6690.25,Completed,2023-05-12
390,6476,2024-06-07,375,10,895.97,8959.70,Completed,2024-06-11
391,488,2023-06-28,348,8,606.42,4851.36,Pending,
392,8439,2023-12-20,44,10,984.31,9843.10,Completed,2023-12-21
393,6824,2024-11-11,472,2,774.80,1549.60,Completed,2024-11-11
394,9828,2023-03-05,274,9,296.54,2668.86,Completed,2023-03-08
395,3787,2024-03-24,202,3,300.42,901.26,Completed,2024-03-28
396,4951,2023-07-10,169,3,823.20,2469.60,Completed,2023-07-14
397,2230,2023-08-27,200,8,439.62,3516.96,Pending,
398,7936,2023-06-01,92,3,199.91,599.73,Completed,2023-06-06
399,5707,2023-11-24,122,3,61.55,184.65,Completed,2023-11-25
400,6429,2023-07-12,317,10,818.71,8187.10,Pending,
401,3046,2023-09-17,291,8,83.44,667.52,Completed,2023-09-18
402,6466,2024-03-08,174,2,815.42,1630.84,Completed,2024-03-14
403,2843,2024-08-30,397,5,60.64,303.20,Pending,
404,1741,2024-08-18,116,4,800.15,3200.60,Completed,2024-08-18
405,5588,2023-11-28,424,8,699.20,5593.60,Pending,
406,9421,2023-11-09,208,7,987.77,6914.39,Cancelled,
407,7847,2024-06-08,34,2,480.52,961.04,Completed,2024-06-10
408,63,2023-07-17,233,3,450.24,1350.72,Pending,
409,1945,2024-07-04,299,2,61.83,123.66,Completed,2024-07-10
